Afrotropic,Antarctic,Australasia,Indomalaya,Nearctic,Neotropic,Oceania,Palearctic,Multiple
,,,,2013,,,2024,
,,,,2019,,,2012,
,,,,2005,,,2016,
,,,,2000,,,2020,
,,,,2013,,,2016,
,,,,2007,,,2015,
,,,,2011,,,2020,
,,,,2008,,,2013,
,,,,2013,,,2015,
,,,,2005,,,2022,
,,,,2002,,,2014,
,,,,2001,,,2018,
,,,,2003,,,1989,
,,,,2014,,,2006,
,,,,2017,,,2006,
,,,,2001,,,2011,
,,,,2002,,,2002,
,,,,2006,,,2008,
,,,,2007,,,2018,
,,,,,,,2011,
,,,,,,,2010,
,,,,,,,2014,
,,,,,,,2018,
,,,,,,,2003,
,,,,,,,2005,
,,,,,,,2018,
,,,,,,,2013,
,,,,,,,2015,
,,,,,,,2020,
,,,,,,,2015,
,,,,,,,2012,
,,,,,,,2024,
,,,,,,,2005,
,,,,,,,2008,
,,,,,,,1996,
,,,,,,,2013,
,,,,,,,2014,
,,,,,,,2011,
,,,,,,,2007,
,,,,,,,2020,
,,,,,,,2017,
,,,,,,,2021,
,,,,,,,2009,
,,,,,,,2015,
,,,,,,,2003,
,,,,,,,2018,
,,,,,,,2011,
,,,,,,,2024,
,,,,,,,2024,
,,,,,,,2015,
,,,,,,,2004,
,,,,,,,2014,
,,,,,,,2008,
,,,,,,,2001,
,,,,,,,2007,
,,,,,,,2015,
,,,,,,,2004,
,,,,,,,2022,
,,,,,,,1998,
,,,,,,,2010,
,,,,,,,1995,
,,,,,,,2001,
,,,,,,,2018,
,,,,,,,2003,
,,,,,,,2014,
,,,,,,,2020,
,,,,,,,2003,
,,,,,,,2024,
,,,,,,,2019,
,,,,,,,2020,
,,,,,,,2023,
,,,,,,,2012,
,,,,,,,2024,
,,,,,,,2003,
,,,,,,,2024,
,,,,,,,2013,
,,,,,,,2016,
,,,,,,,1992,
,,,,,,,2011,
,,,,,,,2003,
,,,,,,,2024,
,,,,,,,2008,
,,,,,,,2002,
,,,,,,,2001,
,,,,,,,2016,
,,,,,,,2008,
,,,,,,,2003,
,,,,,,,2007,
,,,,,,,2014,
,,,,,,,2022,
,,,,,,,2013,
,,,,,,,2010,
,,,,,,,2015,
,,,,,,,2004,
,,,,,,,2023,
,,,,,,,2012,
,,,,,,,2008,
,,,,,,,2004,
,,,,,,,2008,
,,,,,,,2019,
,,,,,,,2018,
,,,,,,,2012,
,,,,,,,2013,
,,,,,,,2024,
,,,,,,,2024,
,,,,,,,2008,
,,,,,,,2024,
,,,,,,,2011,
,,,,,,,2016,
,,,,,,,2014,
,,,,,,,2005,
,,,,,,,2011,
,,,,,,,2019,
,,,,,,,2020,
,,,,,,,2011,
,,,,,,,2000,
,,,,,,,1992,
,,,,,,,2011,
,,,,,,,2023,
,,,,,,,2005,
,,,,,,,2014,
,,,,,,,2014,
,,,,,,,2024,
,,,,,,,2024,
,,,,,,,2024,
,,,,,,,2018,
,,,,,,,2006,
,,,,,,,2020,
,,,,,,,2019,
,,,,,,,2008,
,,,,,,,2016,
,,,,,,,2020,
,,,,,,,2019,
,,,,,,,2024,
,,,,,,,2013,
,,,,,,,2022,
,,,,,,,2013,
,,,,,,,2009,
,,,,,,,2011,
,,,,,,,2010,
,,,,,,,2016,
,,,,,,,1996,
,,,,,,,2007,
,,,,,,,2004,
,,,,,,,2009,
,,,,,,,2007,
,,,,,,,2019,
,,,,,,,2020,
,,,,,,,2000,
,,,,,,,2001,
,,,,,,,2024,
,,,,,,,2006,
,,,,,,,2016,
,,,,,,,2009,
,,,,,,,2016,
,,,,,,,2014,
,,,,,,,2015,
,,,,,,,2012,
,,,,,,,2008,
